L1Seed,PileUp,Total,Prescale0,Fired0,
Count,-1,59077,1,59077,
Count,4.7,1418,1,1418,
Count,5.2,1418,1,1418,
Count,8.6,1412,1,1412,
Count,13.3,1422,1,1422,
Count,17.7,1423,1,1423,
Count,20.2,1417,1,1417,
Count,20.3,1433,1,1433,
Count,21.3,1478,1,1478,
Count,22.2,1351,1,1351,
Count,22.8,1429,1,1429,
Count,23.3,6360,1,6360,
Count,23.4,11241,1,11241,
Count,23.5,9929,1,9929,
Count,23.6,13855,1,13855,
Count,23.7,8397,1,8397,
Count,23.8,8458,1,8458,
Count,23.9,14247,1,14247,
Count,24,13813,1,13813,
Count,24.1,11242,1,11242,
Count,24.2,4267,1,4267,
Count,24.3,11136,1,11136,
Count,24.4,9934,1,9934,
Count,24.5,7049,1,7049,
Count,24.6,11122,1,11122,
Count,24.7,16884,1,16884,
Count,24.8,12465,1,12465,
Count,24.9,8528,1,8528,
Count,25,11194,1,11194,
Count,25.1,7102,1,7102,
Count,25.2,9849,1,9849,
Count,25.3,8278,1,8278,
Count,25.4,9686,1,9686,
Count,25.5,16893,1,16893,
Count,25.6,8530,1,8530,
Count,25.7,8437,1,8437,
Count,25.8,8380,1,8380,
Count,25.9,12662,1,12662,
Count,26,5555,1,5555,
Count,26.1,9670,1,9670,
Count,26.2,8480,1,8480,
Count,26.3,16694,1,16694,
Count,26.4,8331,1,8331,
Count,26.5,11338,1,11338,
Count,26.6,9823,1,9823,
Count,26.7,8280,1,8280,
Count,26.8,8523,1,8523,
Count,26.9,9709,1,9709,
Count,27,13415,1,13415,
Count,27.1,12717,1,12717,
Count,27.2,8298,1,8298,
Count,27.3,7008,1,7008,
Count,27.4,10835,1,10835,
Count,27.5,5553,1,5553,
Count,27.6,8498,1,8498,
Count,27.7,9806,1,9806,
Count,27.8,13872,1,13872,
Count,27.9,5627,1,5627,
Count,28,6913,1,6913,
Count,28.1,8397,1,8397,
Count,28.2,9899,1,9899,
Count,28.3,7162,1,7162,
Count,28.4,8523,1,8523,
Count,28.5,7023,1,7023,
Count,28.6,8206,1,8206,
Count,28.7,12552,1,12552,
Count,28.8,11286,1,11286,
Count,28.9,9937,1,9937,
Count,29,5753,1,5753,
Count,29.1,11127,1,11127,
Count,29.2,7538,1,7538,
Count,29.3,5301,1,5301,
Count,29.4,7159,1,7159,
Count,29.5,13952,1,13952,
Count,29.6,8450,1,8450,
Count,29.7,11145,1,11145,
Count,29.8,8558,1,8558,
Count,29.9,7116,1,7116,
Count,30,5761,1,5761,
Count,30.1,11141,1,11141,
Count,30.2,7070,1,7070,
Count,30.3,5709,1,5709,
Count,30.4,7075,1,7075,
Count,30.5,11193,1,11193,
Count,30.6,9821,1,9821,
Count,30.7,8491,1,8491,
Count,30.8,5627,1,5627,
Count,30.9,8350,1,8350,
Count,31,8462,1,8462,
Count,31.1,6256,1,6256,
Count,31.2,8365,1,8365,
Count,31.3,8322,1,8322,
Count,31.4,12609,1,12609,
Count,31.5,11151,1,11151,
Count,31.6,5740,1,5740,
Count,31.7,7000,1,7000,
Count,31.8,6961,1,6961,
Count,31.9,16950,1,16950,
Count,32,18983,1,18983,
Count,32.1,15401,1,15401,
Count,32.2,11034,1,11034,
Count,32.3,4239,1,4239,
Count,32.4,7012,1,7012,
Count,32.5,8475,1,8475,
Count,32.6,4165,1,4165,
Count,32.7,9714,1,9714,
Count,32.8,16785,1,16785,
Count,32.9,9831,1,9831,
Count,33,2800,1,2800,
Count,33.1,5684,1,5684,
Count,33.2,6153,1,6153,
Count,33.3,5558,1,5558,
Count,33.4,5661,1,5661,
Count,33.5,7026,1,7026,
Count,33.6,4256,1,4256,
Count,33.7,5600,1,5600,
Count,33.8,9787,1,9787,
Count,33.9,7594,1,7594,
Count,34,4022,1,4022,
Count,34.1,9991,1,9991,
Count,34.2,9695,1,9695,
Count,34.3,6940,1,6940,
Count,34.4,7004,1,7004,
Count,34.7,4893,1,4893,
Count,34.8,6973,1,6973,
